FIDC;PL Total;PL Sênior;PL Mezanino;PL Subordinada Jr;Carteira (Direitos Creditórios);Quantidade de Cedentes;Quantidade de Sacados;Caixa/Disponibilidades;Taxa Média;Taxa Ponderada de Cessão;Prazo Médio;Ticket Médio;Retorno Cota Subordinada;Cheques;Duplicata;Duplicata de Serviço Físico;Contrato;Nota Comercial;Confissão de Dívida;Nota Promissória;CCB;Resgates Subordinada Jr.;Resgates Subordinada Mezanino;Resgates Sênior;Liquidado Total (R$);Liquidado Antecipadamente;Liquidado no Prazo;Liquidado Vencido;Entre D1-D5;Entre D1-D15;Entre D6-D15;Entre D16-D30;Acima de D30;Entre D31-D90;Entre D91-D120;Acima de D120;Recompra (R$);Número de Funcionários;Volume Operado;PDD Total;(PDD Total)0-5 dias;(PDD Total)0-15 dias;(PDD Total)0-30 dias;(PDD Total)5-30 dias;(PDD Total)15-30 dias;(PDD Total)30-60 dias;(PDD Total)60-90 dias;(PDD Total)90-120 dias;(PDD Total)120-150 dias;(PDD Total)> 120 dias;(PDD Total)150-180 dias;(PDD Total)180-360 dias;(PDD Total)180-365 dias;(PDD Total)180-999 dias;PDD À Vencer;Vencidos Total;(Vencidos Total)0-5 dias;(Vencidos Total)0-15 dias;(Vencidos Total)0-30 dias;(Vencidos Total)5-30 dias;(Vencidos Total)15-30 dias;(Vencidos Total)30-60 dias;(Vencidos Total)60-90 dias;(Vencidos Total)90-120 dias;(Vencidos Total)120-150 dias;(Vencidos Total)> 120 dias;(Vencidos Total)150-180 dias;(Vencidos Total)180-365 dias;(Vencidos Total)180-999 dias;Concentração Top 10 Cedentes (R$);Cedente 1;Cedente 2;Cedente 3;Cedente 4;Cedente 5;Cedente 6;Cedente 7;Cedente 8;Cedente 9;Cedente 10;Concentração Top 10 Sacados (R$);Sacado 1;Sacado 2;Sacado 3;Sacado 4;Sacado 5;Sacado 6;Sacado 7;Sacado 8;Sacado 9;Sacado 10;Subordinação (%);Subordinação Jr (%);PDD Total (PL%);Vencidos Total (PL%);Concentração Maior Cedente (PL%);Concentração Maior Sacado (PL%);Concentração 10 Maiores Cedentes (PL%);Concentração 10 Maiores Sacados (PL%);Recompra (PL%);Volume Operado (PL%);Caixa/Disponibilidades (%PL);Liquidados Total (PL%);Duplicata (PL%)
ACREDITAR;192129985.71;80457474.83;52532050.89;59140459.99;191502619.51;185.0;2611.0;1561964.37;0.0275342561855089;;47.0;17635.06590122301;0.0568958962148851;675407.330000001;138080585.23999962;;16500915.78;19820087.9;0.0;0.0;16425624.029999996;;;;54956598.25000002;11069535.559999987;18739909.159999985;;;17688451.07000004;;5372073.840000001;;1923615.4300000004;47812.58;115200.61;4110025.97;;77427457.33999982;5763654.510000001;;;187080.66;;;48108.47;9955.820000000002;179470.56000000006;;5186547.050000001;;;;;152491.94999999995;15325439.010000004;;;9698565.530000005;;;247667.17999999996;11249.750000000002;181409.1400000001;;5186547.410000001;;;;74966844.24;12980544.659999996;11125045.819999997;8901429.47;8590562.130000003;7739204.950000002;7192727.969999998;5170287.21;4725151.5699999975;4293382.429999998;4248508.029999999;39636051.24;6486454.460000001;6017124.959999999;4246159.1;3876046.7;3737706.26;3445079.37;3354183.4499999997;3015109.09;2804015.910000001;2654171.9399999995;58.123416013030834;30.781483572931872;2.9998724502585614;7.976599255637348;6.756126386014916;3.3760760643529224;39.018815289537656;20.629810122312946;2.139190275173211;40.299517565607076;0.8129727196032903;28.603863185078886;71.86831598916461
ALFA;52152511.28;19159589.71;0.0;32992921.57;45449518.592138;82.0;3679.0;125476.07;0.0213;;47.88417472453528;;0.0052050848309648;2953400.59;43968478.81;;;;;;;;;;22374284.99;;;;;;;;;;;;937452.66;25.0;29348906.78;1787847.220000001;;15807.649999999998;;;16015.4;64728.45;480519.84;125297.89;334719.3200000001;;16000.61;;;734758.0600000006;98457.70000000008;3840207.0300000007;;886343.2800000003;;;442845.7800000001;225129.95000000007;1040530.07;159879.93;334719.35000000003;;16000.61;;734758.0600000006;18321186.91;2956634.1;2699645.4000000004;1893360.84;1720998.96;1655797.05;1596381.56;1537825.3;1508071.94;1497713.97;1254757.79;8139374.189999999;1136516.7899999998;891785.81;867220.76;803310.66;780489.83;758035.58;729280.42;729280.42;729160.8;714293.12;63.26238326830577;63.26238326830577;3.4281133853771366;7.363417284706449;5.669207536577134;2.1792177636436145;35.13001859418801;15.606869142505458;1.7975216092029387;56.27515542334973;0.24059449280656003;42.90164450543023;84.30750069529537
APPALOOSA;95631989.22;53249772.93;22771970.78;19610245.51;101765526.05999988;147.0;1597.0;3968145.01;0.0212;;40.77303231870658;11468.0;;112455.08;53467372.619999714;;30782474.050000045;7262537.86;;0.0;2274291.64;;;;24650781.559999984;;;;;;;;;;;;4500893.899999999;;35622474.81999981;7864574.550000003;;44974.87;;;1482.9100000000003;70404.34000000001;186976.77;0.0;0.0;;0.0;;;7384805.640000002;175930.02000000016;4685137.73;;3953792.3900000006;;;116902.38;237556.8;376885.59;0.0;0.0;;0.0;;0.5699999999196734;31652616.680000003;4248759.520000002;4103266.13;3533160.97;3461643.860000002;3215635.27;3149824.92;2925166.74;2643781.83;2274291.64;2097085.8000000005;26989544.020000003;4000759.6400000006;3533160.97;3449532.1400000006;2934380.01;2692038.3800000004;2299001.06;2274291.64;2034328.3;2012898.86;1759153.0199999996;44.318032737456015;20.50594750767645;8.223790610386304;4.899132359593514;4.442822485084769;4.18349515954992;33.098356458092304;28.222296995110025;4.706473154757618;37.249538685272796;4.14939084961554;25.776711078644638;55.90950586314669
ARTICO;241897899.7;141744146.75;48336865.62;51816887.33;211696163.93;80.0;1062.0;27863006.3;0.0165588461;;52.0;33249.00554;0.013317;;;;;;;;;;;;86126959.33;15000406.55;23608635.82;;;43933060.63;;2557634.839999996;;1027221.49;0.0;0.0;1233773.24;;100638956.0;262170.07;;;47147.54;;;19463.42;18524.13;;;;;;;;177034.98;3101512.5;;;2907904.34;;;137745.27;55862.89;;;;;;;77015267.54;9409636.2;8607776.73;8559194.67;7471503.530000002;7451606.21;7289592.979999999;7130444.620000002;7081783.87;7076408.39;6937320.340000003;44051659.77;8559372.43;7164167.529999999;6614928.679999999;4587202.18;3276321.489999994;3247329.99;3042987.27;2824737.35;2630676.8599999994;2103935.99;41.40331647120952;21.420974466608815;0.10838046561178968;1.282157680511684;3.889920587020293;3.5384236244362897;31.83792320458912;18.210848388775823;0.5100388393326758;41.60389822516512;11.518498645319161;35.6046743013536;
AUDAX;208221382.65000004;120883641.04;43309599.02;44028142.59;204883182.21;189.0;7958.0;3027585.36;0.0267898219955937;;48.0;5818.433013553434;0.0610325446554687;7697738.129999999;142524911.4500011;;20799394.300000075;31800470.48;109309.72;0.0;1264652.4800000002;;;;56240770.83000046;11011085.990000015;21195201.909999877;;;21519864.01999996;;1675783.2699999972;;820837.45;5498.19;12500.0;3214297.809999999;;77123446.05000058;955928.97;;;119879.97000000004;;;118151.71999999996;78137.44;43445.49;;292585.89;;;;;303728.45999999985;6740673.129999993;;;5751216.239999993;;;484859.65;157401.13999999998;54610.19;;292585.91000000003;;;;74684506.12000003;18381417.72000003;13497722.369999995;8645914.630000003;7241565.020000001;5810045.469999999;5637099.719999996;5131713.430000001;3938676.4;3436789.58;2963561.7800000003;33108626.510000005;6119277.990000001;4375572.450000001;4166255.94;3938676.4;3427371.53;3024790.2800000003;2253445.87;2159245.21;1916837.38;1727153.46;41.94465549045282;21.144870920392957;0.4590926051081045;3.237262688496508;8.82782425419651;2.9388326559553755;35.86783699613476;15.900685169136736;1.5436924724503065;37.03915758720977;1.4540223109982309;27.0100842258529;68.44873933508147
AURUM;176376171.96;99317556.48;35365141.89;41693473.59;168324112.49000025;87.0;3496.0;5795864.109999999;0.0218;;172.01;;0.025747;0.0;42518360.82000019;24070089.410000037;;53214185.83999999;;;15152496.849999998;;;;63910560.18999997;;;;;;;;;;;;1584043.7499999998;;92387011.02999994;2788301.3199999826;;;;;104032.75000000373;103923.06999999656;74392.67000000179;0.0;63989.76999999955;;63989.76999999955;;613649.7199999876;;1651830.7899999998;10736984.300000012;;;;;207892.7100000009;184989.76999999955;95361.59000000358;0.0;63989.76999999955;;63989.76999999955;7363363.649999987;;73491503.61999999;10097220.86;9178101.96;8564123.39;8403926.309999999;7038620.369999999;6748570.54;6490989.580000001;6192869.54;5640349.2;5136731.87;69064088.03999999;10097220.86;9178101.96;8403926.309999999;7038620.369999999;6748570.54;6192869.54;5694452.419999994;5640349.2;5136731.87;4933244.970000001;43.689923998053416;23.638949143003046;1.5808832276007985;6.087548097163052;5.724821413115785;5.724821413115785;41.66747855071204;39.157266694541306;0.8981053009582506;52.380664578065684;3.28608113306509;36.23537095730489;24.10663546413902
BARCELONA;88903467.68;43609675.03;14987350.55;30306442.1;87293484.54;172.0;3741.0;2964769.87;0.0287;;43.61;7378.0;0.0310068925187196;4188514.242431271;60963502.77278917;12030047.379755631;4373517.587903595;4511119.68048452;1126920.9697866691;0.0;99861.90684915916;;;;46824275.84;;;;;;;;;;;;2253217.9100000006;;;7075963.27;;91893.64;;;14133.66;197739.23;196563.72;335665.0;176336.96;;219712.25;;;4832114.1;1011804.71;8786387.25;;2057329.5;;;176755.44;674292.91;243149.83;406696.26;176336.96;;219712.25;;4832114.1;31549301.16;5434149.13;5180137.15;4075131.86;3944676.11;3625130.57;2287074.09;1852846.09;1807365.2;1677432.94;1665358.02;18821824.13;4694391.45;2654350.89;2140252.08;1952753.09;1897640.6;1337723.02;1135306.76;1116876.08;976298.69;916231.47;50.94716081607853;34.08915635224185;7.959153286876604;9.883064720968822;6.1124152654649295;5.280324347861253;35.4871435089111;21.17107984780465;2.5344544693242503;;3.3348191553915774;52.668672057359736;68.5726939158569
CONFIANCA;167116870.31;81582854.33;41261012.58;44273003.4;165815199.76;238.0;6449.0;6139728.62;0.0240254321004469;;49.0;5940.776819801656;0.1220422090974833;4199598.71;113449196.56999928;;32677786.379999965;12448105.38;0.0;0.0;3040512.72;;;;57495307.15999978;6782290.769999996;26125700.08000002;;;18092419.0;;2729680.7900000005;;3325223.400000001;310239.9199999999;129753.2;3635634.08;;87474955.07999948;3104302.959999998;;;272722.83999999985;;;471760.5;189299.8500000001;96481.17;;1035733.8700000002;;;;;1038304.7299999984;12997979.920000017;;;9257584.500000017;;;2231707.270000001;354870.7899999999;118083.46;;1035733.9;;;;46772838.56999999;6413606.73;6063611.039999996;5490443.660000006;4504704.639999997;4455296.1;4113723.0400000014;4061904.87;4025091.6799999983;3852128.59;3792328.2200000007;26685724.3;3391509.2399999998;3095217.13;2851052.0;2798681.97;2741526.72;2644787.69;2476209.33;2340639.25;2233409.46;2112691.510000001;51.18215523144689;26.492240620515485;1.85756408329186;7.777778446837176;3.8377972960496622;2.029423620552962;27.98810107156559;15.968300657197727;2.1755039292298486;52.34358142163288;3.673913117575066;34.40425078171139;67.88614241013025
FATTOR;102233070.78;43386330.56;25570620.52;33276119.7;100285433.05;200.0;3943.0;4066849.56;0.0327249916313979;;30.0;7323.311913246683;0.051150261008183;5914619.169999999;78388732.62000011;;5132601.69;9743683.530000009;0.0;0.0;1105796.3299999998;;;;38804442.320000015;4239631.919999996;17551761.480000045;;;14417136.750000011;;809445.9400000004;;1713490.7999999998;54990.84;17984.59;1079063.6700000002;;55817357.73000003;1932530.9200000016;;;209625.2800000001;;;286080.53000000014;283755.2600000001;314823.24000000005;;48111.12;;;;;790135.4900000014;12364073.379999995;;;9637633.509999998;;;1568518.4499999995;716569.6199999996;393240.68;;48111.12;;;;32597666.149999995;5407241.539999997;5192964.72;4759566.489999996;2769092.870000001;2752191.389999999;2472125.24;2417531.6;2351332.530000001;2330376.4100000006;2145243.3600000003;17278626.770000003;2413291.519999999;2330376.4100000006;2007814.69;1990172.08;1984021.12;1886890.46;1499074.9;1092357.58;1046972.75;1027655.26;57.56135443357168;32.54927143058081;1.8903187640315555;12.094005673180655;5.289131490177074;2.360578139331519;31.885637300427373;16.901210770810813;1.0554937475389803;54.59814256202471;3.9780176111032004;37.95683923405281;76.67649227585895
FIRMA;66594008.52;35413116.08;17280298.96;13900593.48;65788056.18;128.0;2499.0;3508681.75;0.0251;;37.72696009934741;5402.208539099824;0.042001699;4500547.99;55178203.08;;5716945.12;;;;;;;;;6674963.78;26200202.24;2311388.65;987568.3;;1014888.5;212398.47;96533.38;;;;;;42969166.72;3285705.51;;;;;;;;;;;;;;;;1829903.0700000003;;;;;;;;;;;;;;24429894.39;3122789.01;3019350.71;2925774.8;2695038.64;2599304.95;2552422.88;2133791.33;2050451.0900000003;1686960.71;1644010.2699999996;18168853.8;3019350.71;2748035.82;2552422.88;2133791.33;1695925.0400000005;1433738.96;1411671.6;1208284.26;991920.2;973713.0;46.82236905837486;20.87363981975236;4.933935624273484;2.747849409681398;4.689294246436811;4.53396751014501;36.68482335413558;27.283015700343967;;64.52407307347355;5.268764905398729;;82.85760882441619
